,year,rank,title,artist
423,1957,25,A Teenager's Romance,Ricky Nelson
424,1957,26,The Banana Boat Song,The Tarriers
425,1957,27,Honeycomb,Jimmie Rodgers
426,1957,28,Whole Lotta Shakin' Goin On,Jerry Lee Lewis
427,1957,29,Dark Moon,Gale Storm
428,1957,30,That'll Be the Day,The Crickets
429,1957,31,Butterfly,Charlie Gracie
430,1957,32,Moonlight Gambler,Frankie Laine
431,1957,33,Teen-Age Crush,Tommy Sands
432,1957,34,It's Not for Me to Say,Johnny Mathis
433,1957,35,Silhouettes,The Rays
434,1957,36,Butterfly,Andy Williams
435,1957,37,Marianne,The Easy Riders
436,1957,38,I'm Walkin',Fats Domino
437,1957,39,Chances Are,Johnny Mathis
438,1957,40,Send for Me,Nat King Cole
439,1957,41,Rainbow,Russ Hamilton
440,1957,42,Be-Bop Baby,Ricky Nelson
441,1957,43,Short Fat Fannie,Larry Williams
442,1957,44,Green Door,Jim Lowe
443,1957,45,I'm Gonna Sit Right Down and Write Myself a Letter,Billy Williams
444,1957,46,Old Cape Cod,Patti Page
445,1957,47,Mr. Lee,The Bobbettes
446,1957,48,Blueberry Hill,Fats Domino
447,1957,49,Whispering Bells,The Del-Vikings
448,1957,50,Blue Monday,Fats Domino
449,1958,,,
450,1958,1,Volare (Nel blu dipinto di blu),Domenico Modugno
451,1958,2,All I Have to Do Is Dream,The Everly Brothers
452,1958,3,Don't,Elvis Presley
453,1958,4,Witch Doctor,David Seville
454,1958,5,Patricia,Perez Prado
455,1958,6,"Sail Along, Silv'ry Moon",Billy Vaughn
456,1958,7,Catch a Falling Star,Perry Como
457,1958,8,Tequila,The Champs
458,1958,9,It's All in the Game,Tommy Edwards
459,1958,10,Return to Me,Dean Martin
460,1958,11,It's Only Make Believe,Conway Twitty
461,1958,12,The Purple People Eater,Sheb Wooley
462,1958,13,Bird Dog,The Everly Brothers
463,1958,14,Get a Job,The Silhouettes
464,1958,15,Little Star,The Elegants
465,1958,16,Twilight Time,The Platters
466,1958,17,Stood Up,Ricky Nelson
467,1958,18,He's Got the Whole World in His Hands,Laurie London
468,1958,19,Secretly,Jimmie Rodgers
469,1958,20,At the Hop,Danny & the Juniors
470,1958,21,Yakety Yak,The Coasters
471,1958,22,Wear My Ring Around Your Neck,Elvis Presley
472,1958,23,Rockin' Robin,Bobby Day
473,1958,24,Poor Little Fool,Ricky Nelson
474,1958,25,A Wonderful Time Up There,Pat Boone
475,1958,26,Just a Dream,Jimmy Clanton
476,1958,27,Sugartime,The McGuire Sisters
477,1958,28,Tom Dooley,The Kingston Trio
478,1958,29,Sweet Little Sixteen,Chuck Berry
479,1958,30,Topsy II,Cozy Cole
480,1958,31,Looking Back,Nat King Cole
481,1958,32,Book of Love,The Monotones
482,1958,33,Tea for Two Cha Cha,Tommy Dorsey Orchestra
483,1958,34,Tears on My Pillow,Little Anthony and the Imperials
484,1958,35,Short Shorts,The Royal Teens
485,1958,36,Great Balls of Fire,Jerry Lee Lewis
486,1958,37,Lollipop,The Chordettes
487,1958,38,Splish Splash,Bobby Darin
488,1958,39,Who's Sorry Now?,Connie Francis
489,1958,40,My True Love,Jack Scott
490,1958,41,Endless Sleep,Jody Reynolds
491,1958,42,Do You Want to Dance?,Bobby Freeman
492,1958,43,When,The Kalin Twins
493,1958,44,To Know Him Is to Love Him,The Teddy Bears
494,1958,45,April Love,Pat Boone
495,1958,46,Rebel-'Rouser,Duane Eddy
496,1958,47,Oh Julie,The Crescendos
497,1958,48,The Stroll,The Diamonds
498,1958,49,Hard Headed Woman,Elvis Presley
499,1958,50,Peggy Sue,Buddy Holly
500,1958,Tie,Oh Lonesome Me,Don Gibson
501,1959,,,
502,1959,1,The Battle of New Orleans,Johnny Horton
503,1959,2,Mack the Knife,Bobby Darin
504,1959,3,Personality,Lloyd Price
505,1959,4,Venus,Frankie Avalon
506,1959,5,Lonely Boy,Paul Anka
507,1959,6,Dream Lover,Bobby Darin
508,1959,7,The Three Bells,The Browns
509,1959,8,Come Softly to Me,The Fleetwoods
510,1959,9,Kansas City,Wilbert Harrison
511,1959,10,Mr. Blue,The Fleetwoods
512,1959,11,Sleep Walk,Santo & Johnny
513,1959,12,Put Your Head on My Shoulder,Paul Anka
514,1959,13,Stagger Lee,Lloyd Price
515,1959,14,Donna,Ritchie Valens
516,1959,15,Pink Shoe Laces,Dodie Stevens
517,1959,16,Smoke Gets in Your Eyes,The Platters
518,1959,17,Charlie Brown,The Coasters
519,1959,18,Quiet Village,Martin Denny
520,1959,19,My Heart Is an Open Book,Carl Dobkins Jr.
521,1959,20,(Till) I Kissed You,The Everly Brothers
522,1959,21,Sea of Love,Phil Phillips
523,1959,22,The Happy Organ,Dave Cortez
524,1959,23,I'm Gonna Get Married,Lloyd Price
525,1959,24,Sorry (I Ran All the Way Home),The Impalas
526,1959,25,A Teenager in Love,Dion and the Belmonts
527,1959,26,16 Candles,The Crests
528,1959,27,It's Just a Matter of Time,Brook Benton
529,1959,28,Lipstick on Your Collar,Connie Francis
530,1959,29,There Goes My Baby,The Drifters
531,1959,30,A Big Hunk o' Love,Elvis Presley
532,1959,31,Red River Rock,Johnny and the Hurricanes
533,1959,32,Waterloo,Stonewall Jackson
534,1959,33,Lavender Blue,Sammy Turner
535,1959,34,(Now and Then There's) A Fool Such as I,Elvis Presley
536,1959,35,Guitar Boogie Shuffle,The Virtues
537,1959,36,Teen Beat,Sandy Nelson
538,1959,37,"Kookie, Kookie (Lend Me Your Comb)",Edd Byrnes
539,1959,38,Tragedy,Thomas Wayne
540,1959,39,My Happiness,Connie Francis
541,1959,40,Tallahassee Lassie,Freddy Cannon
542,1959,41,Tiger,Fabian
543,1959,42,Never Be Anyone Else But You,Ricky Nelson
544,1959,43,Don't You Know?,Della Reese
545,1959,44,I Need Your Love Tonight,Elvis Presley
546,1959,45,What a Diff'rence a Day Makes,Dinah Washington
547,1959,46,The All American Boy,Bill Parsons
548,1959,47,Primrose Lane,Jerry Wallace
549,1959,48,Alvin's Harmonica,The Chipmunks
550,1959,49,Lonely Street,Andy Williams
